customerID,Churn,account_Contract,account_PaperlessBilling,account_PaymentMethod,account_Charges,customer_gender,customer_SeniorCitizen,customer_Partner,customer_Dependents,customer_tenure,phone_PhoneService,phone_MultipleLines,internet_InternetService,internet_OnlineSecurity,internet_OnlineBackup,internet_DeviceProtection,internet_TechSupport,internet_StreamingTV,internet_StreamingMovies,Contas_Diarias
0002-ORFBO,no,One year,Yes,Mailed check,65.6,Female,0,Yes,Yes,9,Yes,No,DSL,No,Yes,No,Yes,Yes,No,2.1866666666666665
0003-MKNFE,no,Month-to-month,No,Mailed check,59.9,Male,0,No,No,9,Yes,Yes,DSL,No,No,No,No,No,Yes,1.9966666666666666
0004-TLHLJ,yes,Month-to-month,Yes,Electronic check,73.9,Male,0,No,No,4,Yes,No,Fiber optic,No,No,Yes,No,No,No,2.4633333333333334
0011-IGKFF,yes,Month-to-month,Yes,Electronic check,98.0,Male,1,Yes,No,13,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,3.2666666666666666
0013-EXCHZ,yes,Month-to-month,Yes,Mailed check,83.9,Female,1,Yes,No,3,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,2.796666666666667
0013-MHZWF,no,Month-to-month,Yes,Credit card (automatic),69.4,Female,0,No,Yes,9,Yes,No,DSL,No,No,No,Yes,Yes,Yes,2.3133333333333335
0013-SMEOE,no,Two year,Yes,Bank transfer (automatic),109.7,Female,1,Yes,No,71,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,3.6566666666666667
0014-BMAQU,no,Two year,Yes,Credit card (automatic),84.65,Male,0,Yes,No,63,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,2.8216666666666668
0015-UOCOJ,no,Month-to-month,Yes,Electronic check,48.2,Female,1,No,No,7,Yes,No,DSL,Yes,No,No,No,No,No,1.6066666666666667
0016-QLJIS,no,Two year,Yes,Mailed check,90.45,Female,0,Yes,Yes,65,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,3.015
0017-DINOC,no,Two year,No,Credit card (automatic),45.2,Male,0,No,No,54,No,No phone service,DSL,Yes,No,No,Yes,Yes,No,1.5066666666666668
0017-IUDMW,no,Two year,Yes,Credit card (automatic),116.8,Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,3.893333333333333
0018-NYROU,no,Month-to-month,Yes,Electronic check,68.95,Female,0,Yes,No,5,Yes,No,Fiber optic,No,No,No,No,No,No,2.2983333333333333
0019-EFAEP,no,Two year,Yes,Bank transfer (automatic),101.3,Female,0,No,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,3.3766666666666665
0019-GFNTW,no,Two year,No,Bank transfer (automatic),45.05,Female,0,No,No,56,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,1.5016666666666665
0020-INWCK,no,Two year,Yes,Credit card (automatic),95.75,Female,0,Yes,Yes,71,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,3.191666666666667
0020-JDNXP,no,One year,No,Mailed check,61.25,Female,0,Yes,Yes,34,No,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes,2.0416666666666665
0021-IKXGC,no,Month-to-month,Yes,Electronic check,72.1,Female,1,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,2.4033333333333333
0022-TCJCI,yes,One year,No,Credit card (automatic),62.7,Male,1,No,No,45,Yes,No,DSL,Yes,No,Yes,No,No,Yes,2.0900000000000003
